water_source_name,checked_date,source,observed_status,notes
Boyd Camp,2026-09-02,EBRPD Water Availability Update (https://www.ebparks.org/parks/ohlone),running,
Stewart's Camp,2026-09-02,EBRPD Water Availability Update (https://www.ebparks.org/parks/ohlone),running,
Maggie's Half Acre,2026-09-02,EBRPD Water Availability Update (https://www.ebparks.org/parks/ohlone),running,
Doe Camp,2026-09-02,EBRPD Water Availability Update (https://www.ebparks.org/parks/ohlone),running,
Sunol Backpack Camp,2026-09-02,EBRPD Water Availability Update (https://www.ebparks.org/parks/ohlone),running,
Eagle Springs,2026-09-02,EBRPD Water Availability Update (https://www.ebparks.org/parks/ohlone),running,
Boyd Camp,2026-09-04,trip planning document (this project maintainer's Ohlone Trail Sep 2026 itinerary),unclear -- contradicts official source,"This trip's own pre-trip water-carry planning table marked Boyd Camp as having no water, contradicting the official EBRPD page's ""available"" status as of 2026-09-02. Not personally confirmed on the ground by this trip (route did not stop to check) -- flagged as unresolved-conflict pending a firsthand check."
Lichen Bark (Del Valle),2026-09-05,trip itinerary document (this project maintainer's Ohlone Trail Sep 2026 itinerary),reported available,"Not covered by the official backcountry water-availability page (trailhead tap, not a backcountry spigot)."
Stanford Ave Staging Area,2026-09-06,trip itinerary document (this project maintainer's Ohlone Trail Sep 2026 itinerary),reported available,"Not covered by the official backcountry water-availability page (staging-area tap, not a backcountry spigot)."
Stromer Springs,2026-09-05,"field report (this project maintainer, in-person, Ohlone Trail Sep 2026 thru-hike)",running,"Trip's own account: ""All of the spigots we checked were functioning."" Not itemized per-source beyond this; other sources checked on this trip are not individually logged here for that reason."
Eagle Springs,2026-09-15,"EBRPD Alerts & Closures, Ohlone Wilderness Water Availability Update (https://www.ebparks.org/alerts-closures)",running,All seven listed as water available. EBRPD restates that ALL of it is non-potable.
Sunol Backpack Camp,2026-09-15,"EBRPD Alerts & Closures, Ohlone Wilderness Water Availability Update (https://www.ebparks.org/alerts-closures)",running,"All seven listed as water available. EBRPD restates that ALL of it is non-potable. EBRPD wrote this one as 'Backpack Camp' with no park name; mapped to Sunol Backpack Camp, which is the Ohlone corridor camp the rest of the list covers and the name the same update used on 2026-09-02."
Doe Camp,2026-09-15,"EBRPD Alerts & Closures, Ohlone Wilderness Water Availability Update (https://www.ebparks.org/alerts-closures)",running,All seven listed as water available. EBRPD restates that ALL of it is non-potable.
Maggie's Half Acre,2026-09-15,"EBRPD Alerts & Closures, Ohlone Wilderness Water Availability Update (https://www.ebparks.org/alerts-closures)",running,All seven listed as water available. EBRPD restates that ALL of it is non-potable.
Boyd Camp,2026-09-15,"EBRPD Alerts & Closures, Ohlone Wilderness Water Availability Update (https://www.ebparks.org/alerts-closures)",running,"All seven listed as water available. EBRPD restates that ALL of it is non-potable. NEWER THAN THE DISAGREEMENT ON THIS SOURCE: the 2026-09-02 official update said running and this project's own 2026-09-04 planning table marked it unclear. This does not disprove the field note, but it is the newest dated check, so it is what latest_status_by_source now reports. Both earlier entries stay."
Stromer Springs,2026-09-15,"EBRPD Alerts & Closures, Ohlone Wilderness Water Availability Update (https://www.ebparks.org/alerts-closures)",running,"All seven listed as water available. EBRPD restates that ALL of it is non-potable. FIRST TIME THIS SOURCE APPEARS IN AN OFFICIAL UPDATE -- the 2026-09-02 list omitted it, and this project held only a maintainer's in-person report."
Stewart's Camp,2026-09-15,"EBRPD Alerts & Closures, Ohlone Wilderness Water Availability Update (https://www.ebparks.org/alerts-closures)",running,All seven listed as water available. EBRPD restates that ALL of it is non-potable.
Round Valley Backpack Camp,2026-09-15,EBRPD Alerts & Closures (https://www.ebparks.org/alerts-closures),not working,"'Until further notice, the water supply for the Round Valley Backpack Camp at Round Valley Regional Preserve is not working.' No restoration date given. The camp has no other water in this project, so a party must carry everything in."
