name,park,land_agency,agency_id,jurisdiction,access_mode,campsite_type,has_restroom,restroom_type,reservation_method,reservation_contact,checkin_time,checkout_time,nightly_entry_cutoff,fee_notes,notes,source_url,verified_date
Boyd Camp,Del Valle Regional Park,East Bay Regional Park District,ebrpd,CA,hike_in,backpack,True,pit toilet,,,2:00 PM,12:00 PM,,$15/night per site + $8 non-refundable reservation service fee (2026 rate),"~mile 2.07 on the Ohlone Wilderness Trail, E->W from Del Valle.",,
Stewart's Camp,Del Valle Regional Park,East Bay Regional Park District,ebrpd,CA,hike_in,backpack,True,pit toilet,,,2:00 PM,12:00 PM,,$15/night per site + $8 non-refundable reservation service fee (2026 rate),"~mile 6.58 on the Ohlone Wilderness Trail, E->W from Del Valle.",,
Maggie's Half Acre,Del Valle Regional Park,East Bay Regional Park District,ebrpd,CA,hike_in,backpack,True,pit toilet,,,2:00 PM,12:00 PM,,$15/night per site + $8 non-refundable reservation service fee (2026 rate),"~mile 10.72 on the Ohlone Wilderness Trail; not meaningfully out of the way for a Rose Peak side trip, but does not reach as close to the summit as continuing past it.",,
Doe Camp,Del Valle Regional Park,East Bay Regional Park District,ebrpd,CA,hike_in,backpack,True,pit toilet,,,2:00 PM,12:00 PM,,$15/night per site + $8 non-refundable reservation service fee (2026 rate),~mile 11.5 on the Ohlone Wilderness Trail; horse camp.,,
Sunol Backpack Camp,Sunol Regional Wilderness,East Bay Regional Park District,ebrpd,CA,hike_in,backpack,True,pit toilet,,,2:00 PM,12:00 PM,,$15/night per site + $8 non-refundable reservation service fee (2026 rate),"~mile 16.7 on the Ohlone Wilderness Trail. Contains 7 individually named, separately bookable sites -- see data/campsites.csv. Restroom/water proximity genuinely differs by site (e.g. Hawks Nest is called out as closer to both than the others).",,
Eagle Springs,Mission Peak Regional Preserve,East Bay Regional Park District,ebrpd,CA,hike_in,backpack,True,pit toilet,,,2:00 PM,12:00 PM,,$15/night per site + $8 non-refundable reservation service fee (2026 rate),"Westernmost backpack camp, on Mission Peak, near the trail's west end.",,
Del Valle Family Campground,Del Valle Regional Park,East Bay Regional Park District,ebrpd,CA,drive_in,family,True,flush toilet,Direct listing: reserveamerica.com/explore/del-valle,,,,"~10:00 PM (approximate, not a confirmed posted time) -- gate staff were actively closing when a visitor arrived ~15 min after an apparent cutoff and were let through as an exception; staff said they would otherwise have been locked out. Treat as a near-miss data point, not a safe arrival margin.",,"General car-camping area used the night before starting the Ohlone Wilderness Trail from Del Valle; has multiple numbered loops/sites (a specific site number is a personal booking choice, not recorded here).",,
Anthony Chabot Campground,Anthony Chabot Regional Park,East Bay Regional Park District,ebrpd,CA,drive_in,family,True,"flush toilet, hot showers","Park office (not reservations): (510) 690-6676, or 888-327-2757 option 3 ext. 4502",,2:00 PM,12:00 PM,"10:00 PM, and it is a lock-out rather than a courtesy: entry gates are locked every night at 10pm and NO entry is possible until they re-open at 8am the next morning. Campers may EXIT at any time, so a late departure is fine and a late arrival is not. Stated by EBRPD, unlike Del Valle's cutoff, which this project holds only as a visitor's near-miss report.","Per night: tent or RV site with no hook-ups $35; RV site with water, sewer and 30-amp electrical $45; tent only, hike-in $25. RESERVATION FEE $8 PER SITE on top of the nightly rate. RV sewage disposal $20/use. Limited overflow parking $8/night/vehicle. Firewood $10/bundle and charcoal $15/bag at the campground kiosk -- but there is NO CAMP STORE, so bring everything else. Accepts cash, Visa, MasterCard and Discover. Fees subject to change.","THE SITE COUNT RESOLVES, AND THE PAGE'S OWN LIST IS WRONG. 12 RV + 53 drive-up tent + 10 hike-in is exactly 75, so the '1 developed group site' the prose lists inside those 75 does not belong there: Puma Point is real, but it is a separate unit, not one of the 75 individual campsites. An earlier note here recorded the list as summing to 76 while calling itself 75; this is why. BEWARE A COINCIDENCE: the booking system's 'ALL 76' is NOT that same 76. It counts 69 individually listed sites plus 7 group camps, while the prose's faulty list counts 75 individual sites plus Puma Point. Two different quantities that happen to match. ONLY 69 OF THE 75 INDIVIDUAL SITES APPEAR ONLINE. Sites 010, 031, 033, 039, 053 and 075 are absent from the booking system's list entirely, so browsing online does not show the full inventory and a party counting availability there is counting 69. WHY THEY ARE ABSENT IS NOT STATED. The likeliest reading is that they are the accessible sites -- the same booking system says ADA campsites must be reserved by phone only, and the brochure confirms disabled accessible sites exist here -- but no source read says so, and they could equally be closed or out of service. Treated as a hypothesis, not a fact; ask Reservations. LOOPS, which the booking system names and no other source does: Loop A sites 1-12, the RV sites with 30-amp full hookups (11 listed, 010 absent); Loop B sites 13-22, 'Hike-In Sites (NO driving to site)', all 10 listed; Loop C sites 23-33, tent, 9 listed; Loop D sites 34-61, tent, 26 listed; Loop F sites 62-75, tent, 13 listed. There is no Loop E. PETS ARE ALLOWED AT EVERY SITE without exception -- all 76 listings, group camps and hike-in sites included, carry the Pets Allowed marker. THE OPEN SEASON IS UNCONFIRMED AND IT IS THE FACT MOST LIKELY TO COST A TRIP. The booking system says SEASONALLY CLOSED 1 NOVEMBER - 1 APRIL, with select sites closed through May. THE PARK BROCHURE CONTRADICTS THAT, saying year-round camping is available; see the open conflict, and treat the closure as live until it is settled, because acting on 'year-round' costs the trip rather than an argument. 75 campsites: 53 drive-up tent, 10 hike-in tent (#13-22) and 12 RV with full hookups (30 amp), plus Puma Point, a developed group site inside the campground with its own row -- the page's own list sums to 76 while calling itself 75. THE HIKE-IN SITES ARE NOT BACKPACK SITES: they sit inside the campground 0.2 miles (about 1,000 feet) from parking with no vehicle access, EBRPD suggests bringing a wagon, and they are priced at the $25 tent-only rate. NO RIGS OVER 35 FEET, stated twice by the booking system and matching the brochure; the campground page's 'pads average 30 feet, largest is 39' describes pad length, not what may be parked on it. 2 VEHICLES PER CAMPSITE, and the booking system says NO OVERFLOW PARKING IS AVAILABLE while the brochure prices limited overflow parking at $8/night/vehicle -- a second open conflict, and the one that decides where a third car goes. Maximum 8 people per family site, infants and children included. A maximum of TWO family campsites per household, customer name, primary occupant or registered vehicle on any date; additional sites are cancelled. Hot showers, flush toilets, amphitheatre, seasonal campfire programs and a dump station (additional use fees may apply). Every site has a picnic table and fire ring with grill. Tents must stand on dirt or designated pads, never on lawns; there is no limit on the number. FIRES only in designated areas, only commercially bought wood, processed logs or cut lumber -- COLLECTING WOOD IS PROHIBITED, unlike on the national forest land elsewhere in this dataset -- attended by an adult and fully extinguished on departure. Generators, smoking and vaping are prohibited outright. No camp store. LIMITED TO NO CELL SERVICE and no wifi. Beer and wine only, 21+, at campsites or picnic areas and not in parking lots, on trails or at swim beaches; no hard alcohol. PETS: Ordinance 38 s.801.2(i) governs cats and other animals -- attended, and leashed or contained. The campground's own rules are written for dogs: maximum 3 per site, leashed in developed areas, waste binned, CONFINED TO VEHICLE OR TENT DURING QUIET HOURS, never left unattended, and noisy or uncontrollable dogs asked to leave. Whether the quiet-hours confinement is applied to a cat is not stated by any source read here. Sits about 1.5 miles above Lake Chabot; registered campers park free at the Lake Chabot Marina, and swimming is never permitted there. Campsites are for overnight use only -- meet visitors in the day-use parts of the park. EBRPD gives the park as 3,304 acres on its own page and 5,067 on the booking system, and the drive from downtown Oakland as both 20 and 35 minutes; neither gates a decision, so no conflict was opened for them.",https://a1.reserveamerica.com/explore/anthony-chabot/EB/110004/campsites,2026-09-15
Dumbarton Quarry Campground on the Bay,Coyote Hills Regional Park,East Bay Regional Park District,ebrpd,CA,drive_in,family,True,flush toilet,,,,,,,"PARK FIELD RESOLVED TO COYOTE HILLS, where it previously pointed at this campground's own name as a placeholder. Two sources place it inside: ReserveAmerica says it is located within Coyote Hills Regional Park, and Coyote Hills' own map brochure lists it under that park's Camping heading alongside Dairy Glen -- 'Dumbarton Quarry Campground on the Bay offers tent, car, and RV camping'. EBRPD's park finder lists it as a park in its own right, but a finder entry is a navigation choice rather than a claim about boundaries. CAUTION THAT THE JOIN NOW CARRIES: with park set to Coyote Hills, this row inherits Coyote Hills' $5 parking and its six seasonal gate bands, and this campground has its OWN entrance on the Bay side and its own separate brochure. Whether a Dumbarton camper meets Coyote Hills' gate and fee is UNCONFIRMED -- the same shape as Star Mine, which lies in Black Diamond and is entered from Contra Loma. Everything below is still from web-search summaries rather than a page read here. Reported composition, unconfirmed: about 60 paved sites with water, sewer and 50 amp electrical hookups, taking tent, walk-in, bike and RV camping. Open year-round. EVIDENCE AGAINST THE RESOLUTION, ARRIVING THE SAME DAY: ReserveAmerica's Coyote Hills listing says 'Dumbarton Quarry and Ardenwood Historic Farm parks are located nearby' -- calling Dumbarton a PARK, and placing it NEARBY rather than inside. That is the third source and it lines up with EBRPD's park finder, not with the brochure. The resolution is left standing, because a brochure listing a campground under a park's own Camping heading is a stronger claim about boundaries than a sentence pointing visitors at what else is in the area, and 'nearby' is what you would write about a camp with its own entrance a few miles round the marsh even if it sat inside the same park. But the reading is now 2-2 across sources rather than 2-1, and the caution above about inheriting Coyote Hills' gate and fee matters more for it.",https://www.ebparks.org/parks/dumbarton-quarry/campground,
Bort Meadow Group Camp,Anthony Chabot Regional Park,East Bay Regional Park District,ebrpd,CA,drive_in,group,True,chemical/vault toilet,,,,,10:00 PM -- the park page gives campground and group camp gate hours as 8am-10pm.,"$200/night, plus an $8 reservation fee. A SECURITY/DAMAGE DEPOSIT equal to one night's fee is required for every group site reservation, so the amount to have available is roughly double the nightly rate.","MINIMUM PARTY SIZE IS 100, NOT 17, AND THIS PROJECT PREVIOUSLY IMPLIED OTHERWISE. The 17 came from Anthony Chabot's campground page and was treated as the answer for every group camp. The District's 2026 group camping table scales minimums with capacity, and at 300 capacity this site needs 100. 17 is the District's floor, not this camp's requirement -- a party of twenty cannot book here. The table names this site's vehicle cap directly: 75. HOW THAT TABLE WAS READ MATTERS: it is a three-column PDF that extracted as flattened columns here, so the tier values are confident but the row alignment was reconstructed, and only the four sites the table names in parentheses are certain. THE RECONSTRUCTION WAS LATER TESTED AND ONE ROW OF IT WAS WRONG: Briones' Maud Whalen is stated as minimum 25 at 75 capacity, where the reading gave 17 for a 75-capacity site. No Anthony Chabot camp is 75, so no figure here rested on the bad row, and the 300/100, 100/50, 50/17 and 35/17 tiers are each now corroborated by a directly stated site. Still confirm with Reservations before planning a party size around it. Vehicles park in the lot nearest the site -- no driving in, and no additional parking passes exist. CAPACITY 300, from the booking system's own site list, which resolves the 'varies from 35 to 300' range into a per-site figure: El Venado and Lookout Ridge 35, Puma Point and Two Rocks 50, Lost Ridge and Hawk Ridge 100, Bort Meadow 300. Listed as Primitive Group Camp Seasonal B -- the only one in season B, so its open period may differ from the other five. Pets are allowed here, listed per site. One of six PRIMITIVE group campsites, which are not inside the family campground -- they sit behind the group camp gate and have NO access to showers or flush toilets. Picnic tables, fire ring with grill, water and chemical or vault toilets. RVs, trailers and motorhomes are not permitted at any group campsite. Capacity across the six ranges from 35 to 300; this site's own capacity is UNCONFIRMED, as the range covers all of them together. The minimum party size needed to book is disputed between EBRPD's own pages -- see the open conflict. The most expensive of the seven at $200/night. EQUESTRIAN CAMPING is available here by reservation, the only EBRPD equestrian camping this project holds outside Del Valle. Bort Meadow is also a staging area off Redwood Road. STAY LIMIT IS 7 NIGHTS PER MONTH for group sites, not the family campground's 15 consecutive days. One group reservation per date per party, household or primary contact. An information letter with the GATE CODE and printable parking passes is emailed 5-7 days before arrival, so a booking made inside that window may not arrive with one. Beer and wine need an ADDITIONAL PERMIT at group sites, purchased in advance; no hard alcohol. Groups must have at least one adult over 21 for every 10 juveniles.",https://www.ebparks.org/sites/default/files/ebprd-group-camping-minimum-2026.pdf?v=20251210,2026-09-15
