name,campground,capacity,water_proximity,restroom_proximity,notes,loop,site_type,hookups,online_bookable
Cathedral,Sunol Backpack Camp,5,,,"Densely shaded, cool in summer. CAPACITY CONFIRMED by the Sunol booking facility's own site list, which gives all seven figures and matches every one already stored. NOT BOOKABLE ONLINE, corrected from True. ReserveAmerica LISTS this site and will not sell it: EBRPD's backpack sites are phone-only District-wide, which booking_channels has said since it was built, and these rows contradicted it. Listing is not selling, and the column means sellable.",Sunol Backpack,,,False
Eagles Aerie,Sunol Backpack Camp,10,,,"Excellent view of Alameda Creek canyon and Oak Ridge. Noted as ""best"" among Sunol Backpack Camp's sites in this project's trip-planning research (source of that ranking not otherwise specified). SPELLED 'EAGLES EYRIE' ON THE OHLONE WILDERNESS PERMIT MAP, which numbers Sunol's seven sites 1-Cathedral, 2-Oak View, 3-Sycamore, 4-Stars Rest, 5-Hawks Nest, 6-Eagles Eyrie, 7-Sky Camp. That numbering confirms all seven names this project holds and disagrees with one of them. Aerie and eyrie are the same word spelled two ways; the key is kept because tests and the campsites join are built on it, and the map's spelling is recorded so a reader matching the two lists is not left wondering. Third EBRPD naming disagreement in three days, after Eagle Spring(s) and Girls'/Girl's Camp. CAPACITY CONFIRMED by the Sunol booking facility's own site list, which gives all seven figures and matches every one already stored. NOT BOOKABLE ONLINE, corrected from True. ReserveAmerica LISTS this site and will not sell it: EBRPD's backpack sites are phone-only District-wide, which booking_channels has said since it was built, and these rows contradicted it. Listing is not selling, and the column means sellable. AND THE SPELLING RESOLVES IN FAVOUR OF THE STORED KEY, a day after it was recorded as contested. The booking facility calls it ""SUN: EAGLE'S AERIE BP CAMP"" -- aerie, as here. The Ohlone Wilderness permit map's 'Eagles Eyrie' is the outlier at two sources to one. The map is also the document that still demands an abolished permit, so its being wrong twice in one sheet is consistent rather than surprising. Kept as is; the map's spelling stays recorded, now as the minority reading rather than an open question.",Sunol Backpack,,,False
Hawks Nest,Sunol Backpack Camp,5,closest to water,near-ish,"Excellent view of Alameda Creek canyon and Oak Ridge. CAPACITY CONFIRMED by the Sunol booking facility's own site list, which gives all seven figures and matches every one already stored. NOT BOOKABLE ONLINE, corrected from True. ReserveAmerica LISTS this site and will not sell it: EBRPD's backpack sites are phone-only District-wide, which booking_channels has said since it was built, and these rows contradicted it. Listing is not selling, and the column means sellable.",Sunol Backpack,,,False
Oak View,Sunol Backpack Camp,5,,,"Excellent view of lower Alameda Creek canyon and Mission Peak. CAPACITY CONFIRMED by the Sunol booking facility's own site list, which gives all seven figures and matches every one already stored. NOT BOOKABLE ONLINE, corrected from True. ReserveAmerica LISTS this site and will not sell it: EBRPD's backpack sites are phone-only District-wide, which booking_channels has said since it was built, and these rows contradicted it. Listing is not selling, and the column means sellable.",Sunol Backpack,,,False
Sky Camp,Sunol Backpack Camp,3,,,"Magnificent view of Alameda Creek canyon and Oak Ridge. CAPACITY CONFIRMED by the Sunol booking facility's own site list, which gives all seven figures and matches every one already stored. NOT BOOKABLE ONLINE, corrected from True. ReserveAmerica LISTS this site and will not sell it: EBRPD's backpack sites are phone-only District-wide, which booking_channels has said since it was built, and these rows contradicted it. Listing is not selling, and the column means sellable.",Sunol Backpack,,,False
Stars Rest,Sunol Backpack Camp,30,,,"Good view of Alameda Creek canyon and Mission Peak. CAPACITY CONFIRMED by the Sunol booking facility's own site list, which gives all seven figures and matches every one already stored. NOT BOOKABLE ONLINE, corrected from True. ReserveAmerica LISTS this site and will not sell it: EBRPD's backpack sites are phone-only District-wide, which booking_channels has said since it was built, and these rows contradicted it. Listing is not selling, and the column means sellable.",Sunol Backpack,,,False
Sycamore,Sunol Backpack Camp,5,,,"Good view of Alameda Creek canyon. Very shady. CAPACITY CONFIRMED by the Sunol booking facility's own site list, which gives all seven figures and matches every one already stored. NOT BOOKABLE ONLINE, corrected from True. ReserveAmerica LISTS this site and will not sell it: EBRPD's backpack sites are phone-only District-wide, which booking_channels has said since it was built, and these rows contradicted it. Listing is not selling, and the column means sellable.",Sunol Backpack,,,False
001,Anthony Chabot Campground,8,,,,Loop A: Sites 1-12,rv_hookup,"30 amp electric, water, sewer (full hookup)",True
002,Anthony Chabot Campground,8,,,,Loop A: Sites 1-12,rv_hookup,"30 amp electric, water, sewer (full hookup)",True
003,Anthony Chabot Campground,8,,,,Loop A: Sites 1-12,rv_hookup,"30 amp electric, water, sewer (full hookup)",True
